,Overall Survival (Months)
ANP32B,-0.025756069995848428
ANP32D,-0.044886860511910834
ANP32E,-0.02091096414922942
ANPEP,-0.04322385299130211
ANTXR1,0.0020483917832905827
ANTXR2,-0.10345543474588706
ANTXRL,-0.030940823634878052
ZFAND4,0.045589897764673516
ANXA10,-0.04324247540912142
ANXA11,-0.01392112357913257
ANXA13,-0.0593603209807257
ANXA1,-0.03427252231891407
ANXA2,-0.07531155953314374
ANXA3,-0.03329491697447124
ANXA4,-0.03370504695210847
ANXA5,-0.009514963029897582
ANXA6,0.03129370850370163
ANXA7,0.0462137567403657
ANXA9,-0.030070018954814315
AOAH,-0.03558374347822516
AOC2,0.05229320992886605
AOC3,0.02767048533765211
AOX1,-0.0276911082104109
AOX2P,0.04145608732044478
AP1AR,-0.06374149809387183
AP1B1,0.07329599405596104
AP1G1,0.04537180327822072
AP1G2,0.10887080469063191
AP1M1,0.0830242458713043
AP1M2,0.06904922947308047
AP1S1,0.00872710365057048
AP1S2,-0.004674197053309392
AP1S3,-0.10667415640003658
AP2A1,-0.07518246335476987
AP2A2,0.0005476863245612022
AP2B1,-0.05703769855988042
AP2M1,-0.03501264470559464
AP2S1,0.027563180108237165
AP3B1,-0.04238366014927544
AP3B2,0.05376595224944478
AP3D1,-0.02547436331294179
AP3M1,-0.04698613008168732
AP3M2,-0.09364219342730226
AP3S1,-0.06022862020363185
AP3S2,0.05463250339883627
AP4B1,-0.03156688310441941
AP4E1,-0.0672167183422749
AP4M1,0.05629570528784245
AP4S1,-0.019406332444331
APAF1,-0.14740041654596883
APBA1,0.011381205290840343
APBA2,-0.0513117866663383
APBA3,-0.01483524469080773
APBB1IP,-0.0024184142962304276
APBB1,0.013065609650597929
APBB2,-0.07318678826119811
APBB3,0.0561006769682822
APC2,-0.07195437219570117
APCDD1L,-0.04249106288834979
APCDD1,0.01790850726301668
APCS,-0.056243180210547535
APC,-0.045299865863327175
APEH,0.06727713576243968
APEX1,0.01754161992960839
APEX2,0.07320534949422447
APH1A,0.011298949357216181
APH1B,0.03770339632924063
API5,-0.025362951554102155
APIP,-0.009497099660787616
APITD1,0.1491359844456074
APLF,0.03507696015131007
APLNR,-0.020165382144241937
APLN,0.07363497675425097
APLP1,-0.029109874315427015
APLP2,0.014036236613469612
APOA1BP,0.023659536940504038
APOA1,-0.04208108538880911
APOA2,-0.042453181668717636
APOA4,-0.006594322975572797
APOA5,0.03556240294591595
APOBR,0.04747098491998391
APOBEC1,-0.02733513443548128
APOBEC2,-0.045921822447573694
APOBEC3A,0.06874833320699239
APOBEC3B,0.07666699646941083
APOBEC3C,-0.06680760066001362
APOBEC3D,-0.01725741431835835
APOBEC3H,0.04990257523461744
APOBEC4,0.06642699805673954
APOB,-0.04358184721802373
APOC1P1,-0.0020523982303832415
APOC1,0.036316874456504875
APOC2,0.008575446322890715
APOC3,-0.05551019663432075
APOC4,0.030679468898543626
APOD,0.07948932402757639
APOE,0.0680213793584678
APOF,-0.04190036354258641
APOH,-0.04268627357363399
APOL1,-0.10196688054862083
APOL2,-0.07097509691019087
APOL3,-0.0467922588401823
APOL4,-0.028637456807386906
APOL5,-0.030130531417916242
APOL6,-0.07037326620409555
APOLD1,-0.03958706263661091
APOM,-0.024064490797588246
APOOL,-0.0501736226502284
APOO,0.08290717479830671
APPBP2,-0.061786523775961284
APPL2,-0.0645889962753263
APP,-0.020613464486326314
APRT,0.07582106960617568
APTX,0.04668116265938051
AQP10,0.025188597033423472
AQP11,0.042311166581850884
AQP12A,0.06752648525691328
AQP12B,0.04416355175242557
AQP1,-0.05357146745184313
AQP2,-0.01632407196486949
AQP3,0.0318605591760954
AQP4,0.05535702429316567
AQP5,0.052950023433029195
AQP6,0.11574138174092105
AQP7,0.008033072042081882
AQP8,0.08926714252531802
AQP9,-0.014604757675050966
LVRN,-0.030700766267194826
AQR,-0.024964808382657386
ARAF,0.040721074501000966
ARAP1,0.03508270369341256
ARAP2,-0.10114202731259594
ARAP3,-0.010097668458625237
ARCN1,-0.033128242250923576
ARC,0.02400140533537006
ARF1,0.024936510065938795
ARF3,-0.06535287732095259
ARF4,-0.0006857777835815932
ARF5,0.07910519969986818
ARF6,-0.07507315397208984
ARFGAP1,0.07324674848027907
ARFGAP2,0.10056635842021797
ARFGAP3,-0.046284043851452794
ARFGEF1,-0.022610666550918687
ARFGEF2,-0.035565807509306775
ARFIP1,0.03447067599076467
ARFIP2,0.05283548713208674
ARFRP1,0.09154008104626354
ARG1,-0.05393819214215034
